sales_id,invoice_number,date,employee,payment_type,platform,qty,total,product_id
27796,19458,2024-01-19,Fausto,Efectivo, ,1,1200.0,394
20824,14440,2023-09-15,Marisa y Kuky,Efectivo, ,1,1000.0,394
16119,11161,2023-06-25,Fausto,Efectivo, ,1,400.0,65
16636,11531,2023-07-04,Marisa y Kuky,Efectivo, ,3,1200.0,65
16734,11597,2023-07-05,Fausto,Efectivo, ,1,400.0,65
16960,11758,2023-07-08,Marisa y Kuky,Efectivo, ,1,400.0,65
19022,13166,2023-08-14,Marisa y Kuky,Debito, ,1,400.0,65
20239,14007,2023-09-05,Fausto,Efectivo, ,1,450.0,65
20371,14102,2023-09-07,Marisa y Kuky,Efectivo, ,1,450.0,65
20825,14441,2023-09-15,Marisa y Kuky,Efectivo, ,1,450.0,65
22381,15544,2023-10-13,Marisa y Kuky,Efectivo, ,1,450.0,65
22463,15607,2023-10-15,Marisa y Kuky,Efectivo, ,1,500.0,65
22873,15913,2023-10-23,Fausto,Efectivo, ,1,500.0,65
24110,16796,2023-11-19,Fausto,Efectivo, ,1,500.0,65
25028,17450,2023-12-05,Fausto,Efectivo, ,1,500.0,65
14224,9808,2023-05-25,Marisa y Kuky,Efectivo, ,1,300.0,58
14445,9988,2023-05-29,Marisa y Kuky,Efectivo, ,1,300.0,58
15245,10545,2023-06-10,Fausto,Efectivo, ,2,600.0,58
15684,10840,2023-06-17,Marisa y Kuky,Efectivo, ,1,300.0,58
15702,10850,2023-06-17,Marisa y Kuky,Efectivo, ,1,300.0,58
